Model,CV_Mean,CV_Std,Test_Acc,Train_Acc,Overfit_Gap
Logistic Regression,0.8787878787878787,0.030303030303030276,0.927710843373494,0.9636363636363636,0.03592552026286966
Linear SVM,0.8727272727272727,0.03661529082907443,0.927710843373494,0.9787878787878788,0.0510770354143848
Random Forest,0.6878787878787879,0.04848484848484849,0.7951807228915663,0.8,0.004819277108433773
Naive Bayes,0.8818181818181818,0.014845392380504096,0.891566265060241,0.9606060606060606,0.06903979554581963
Gradient Boosting,0.8242424242424242,0.04349303058911312,0.8554216867469879,1.0,0.14457831325301207
